,Global_active_power,Global_reactive_power,Voltage,Global_intensity,date,month,year,hour,minute,total_metering
1413467,1.6,1.6,243.17,6.6,24,8,2009,7,11,20.0
406388,0.238,0.238,242.52,1.0,24,9,2007,22,32,0.0
155665,3.347,3.347,233.66,13.9,4,3,2007,19,49,38.0
1003973,1.564,1.564,241.73,6.4,11,12,2008,22,17,19.0
2014931,1.076,1.076,244.44,4.8,15,10,2010,23,35,12.0
1101498,0.218,0.218,244.42,0.8,19,1,2009,15,42,0.0
679312,1.532,1.532,237.74,6.4,4,1,2008,11,16,17.0
242706,0.468,0.468,236.49,2.2,6,3,2007,6,30,1.0
65259,0.286,0.286,240.83,1.2,31,1,2007,1,3,0.0
1526287,0.462,0.462,247.75,2.0,11,10,2009,15,31,0.0
673716,1.312,1.312,243.73,5.4,28,3,2008,14,0,18.0
1193712,0.418,0.418,245.15,1.8,24,3,2009,16,36,0.0
1092312,3.347,3.347,238.21,13.9,13,1,2009,6,36,18.0
642352,1.298,1.298,235.77,5.4,3,6,2008,19,16,0.0
1586174,0.218,0.218,247.52,0.8,22,12,2009,5,38,0.0
1589962,2.586,2.586,242.15,10.6,24,12,2009,20,46,20.0
395974,0.128,0.128,240.22,0.6,17,9,2007,16,58,0.0
1463145,0.45,0.45,239.31,1.8,27,9,2009,19,9,2.0
2063818,0.726,0.726,240.45,3.0,18,11,2010,22,22,0.0
535107,1.054,1.054,244.32,6.0,23,12,2007,7,51,0.0
1201465,0.268,0.268,243.43,1.2,30,3,2009,1,49,0.0
295351,1.306,1.306,240.91,5.4,7,9,2007,19,55,0.0
105386,0.228,0.228,244.03,1.0,27,2,2007,21,50,0.0
1035859,0.816,0.816,244.7,3.6,12,5,2008,1,43,0.0
1508116,0.452,0.452,241.08,2.0,29,10,2009,0,40,0.0
439486,2.728,2.728,237.43,11.4,17,10,2007,22,10,18.0
382875,0.336,0.336,238.18,1.6,9,8,2007,14,39,2.0
266902,0.16,0.16,240.23,0.8,20,6,2007,1,46,1.0
1679807,0.344,0.344,240.95,1.4,25,2,2010,6,11,1.0
690655,1.478,1.478,241.45,6.0,4,9,2008,8,19,20.0
1101518,0.298,0.298,244.99,1.2,19,1,2009,16,2,1.0
1826844,1.368,1.368,237.08,5.8,6,7,2010,8,48,20.0
598781,3.347,3.347,240.29,13.9,2,5,2008,13,5,45.0
1059914,2.972,2.972,239.1,12.4,21,12,2008,18,38,17.0
827597,0.672,0.672,241.91,2.8,13,7,2008,10,41,0.0
1985262,0.608,0.608,240.7980573828573,2.6,25,9,2010,9,6,1.0
1264752,0.48,0.48,242.45,2.2,13,5,2009,0,36,2.0
1920333,0.154,0.154,239.07,0.6,8,11,2010,6,57,1.0
904747,0.172,0.172,240.8,1.0,9,5,2008,0,31,1.0
1975548,2.454,2.454,238.61,10.2,18,9,2010,15,12,38.0
943425,3.347,3.347,237.45,13.9,10,1,2008,21,9,45.0
1726982,1.062,1.062,242.97,4.8,30,3,2010,0,26,10.0
